성과사업명,가중논문수,가중특허수,Y_총가중성과
한국고등과학원연구운영비지원(R&D)(주요사업비),717.2401154401153,0.0,717.2401154401153
대구경북과학기술원연구운영비지원(R&D)(주요사업비),241.0785714285714,475.27236728571427,716.3509387142857
한국기초과학지원연구원연구운영비지원(주요사업비),553.9154761904762,160.25714285714284,714.172619047619
토양지하수오염방지기술개발,221.17619047619047,492.96666666666664,714.1428571428571
차세대정보·컴퓨팅기술개발(R&D),174.53571428571428,538.6899963333333,713.2257106190475
자동차산업핵심기술개발,46.9,663.5833333333334,710.4833333333333
한국지질자원연구원연구운영비지원(주요사업비),340.76666666666665,368.0333333333333,708.8
6G핵심기술개발,75.21666666666667,630.4428571428572,705.6595238095239
한국항공우주연구원연구운영비지원(R&D)(주요사업비),86.86666666666666,615.7333333333333,702.6
한국지질자원연구원연구운영비지원(R&D)(주요사업비),379.5333333333333,321.166333,700.6996663333333
정보보호핵심원천기술개발(정진기금),91.46666666666667,608.65,700.1166666666667
산업혁신인재성장지원(R&D),435.77166666666665,262.85203333333334,698.6237
기계장비산업기술개발,67.95,627.0,694.95
ICT유망기술개발지원(R&D),16.483333333333334,677.8999996666666,694.383333
나노융합산업핵심기술개발(R&D),134.42619047619047,556.1999923333333,690.6261828095237
"범부처전주기의료기기연구개발사업(R&D)(과기정통부,복지부,산업부)",241.79999999999998,447.87244300000003,689.672443
방송통신융합미디어원천기술개발,48.36666666666667,631.4333333333333,679.8
"정보보호핵심원천기술개발(R&D,정보화)",86.21666666666667,593.482995,679.6996616666667
인문사회기초연구(R&D),559.9133333333333,117.766665,677.6799983333333
방사광가속기공동이용연구지원사업,659.2416666666667,17.5,676.7416666666667
한국철도기술연구원연구운영비지원(R&D)(주요사업비),123.91666666666666,552.0,675.9166666666666
한국원자력연구원연구운영비지원,335.7595238095238,336.9166666666667,672.6761904761904
한국건설기술연구원연구운영비지원(R&D)(주요사업비),82.0,590.5,672.5
한국기계연구원연구운영비지원(주요사업비),147.00119047619046,522.55,669.5511904761904
재료연구소연구운영비지원,235.34371428571427,433.6333333333333,668.9770476190477
방사광가속기공동이용연구지원,654.3261904761904,13.333333333333334,667.6595238095238
한국기계연구원연구운영비지원(R&D)(주요사업비),140.39285714285714,527.016638,667.409495142857
중소기업기술혁신개발(소부장회계),0.0,663.9166666666666,663.9166666666666
플랜트연구,219.55,442.3333333333333,661.8833333333333
지역특화산업육성+,16.583333333333332,642.1,658.6833333333334
한국천문연구원연구운영비지원,585.4352564102564,72.5,657.9352564102564
소재부품산업기술개발기반구축(R&D),77.66666666666666,576.4493326666667,654.1159993333333
한국고등과학원연구운영비지원(주요사업비),653.4551587301587,0.0,653.4551587301587
소재부품산업전문기술개발사업(R&D),46.03333333333333,606.6333326666667,652.666666
"중소기업상용화기술개발(일반,R&D)",0.0,651.666661,651.666661
산학연CollaboR&D,8.0,643.5761904761905,651.5761904761905
한국전자통신연구원연구개발지원(방통기금),17.0,630.3333333333334,647.3333333333334
"글로벌전문기술개발(주력,신산업)",53.666666666666664,593.25,646.9166666666666
차세대지능형반도체기술개발(소자),302.0207936507936,338.441341991342,640.4621356421355
해외우수기관유치(R&D),357.91984126984124,279.5334085555555,637.4532498253968
사업화연계기술개발,14.4,617.9833333333333,632.3833333333333
제조기반산업핵심기술개발,91.78333333333333,540.3,632.0833333333333
선도형특성화연구사업,333.1559523809524,296.1095238095238,629.2654761904762
인문사회기초연구,502.75,126.25,629.0
